BV1	PV1	BV2	PV2	Particle	MajorityClass-4	BinaryClass-2
lodern	auflodern	glimmen	aufglimmen	auf	ShiftReg	Shift
machen	aufmachen	schlagen	aufschlagen	auf	ShiftDiff	Shift
mampfen	aufmampfen	essen	aufessen	auf	Comp	Comp
motzen	aufmotzen	donnern	aufdonnern	auf	ShiftDiff	Shift
motzen	aufmotzen	stylen	aufstylen	auf	AsymComp	Comp
nähen	aufnähen	fädeln	auffädeln	auf	Comp	Comp
nähen	aufnähen	steppen	aufsteppen	auf	Comp	Comp
päppeln	aufpäppeln	helfen	aufhelfen	auf	AsymComp	Comp
peitschen	aufpeitschen	wühlen	aufwühlen	auf	ShiftDiff	Shift
pieksen	aufpieksen	pieken	aufpieken	auf	Comp	Comp
pimpen	aufpimpen	bessern	aufbessern	auf	Comp	Comp
polieren	aufpolieren	bessern	aufbessern	auf	AsymComp	Comp
polstern	aufpolstern	bessern	aufbessern	auf	AsymComp	Comp
putschen	aufputschen	drehen	aufdrehen	auf	ShiftDiff	Shift
quatschen	aufquatschen	schwätzen	aufschwätzen	auf	ShiftReg	Shift
raffen	aufraffen	krempeln	aufkrempeln	auf	AsymComp	Comp
raffen	aufraffen	rütteln	aufrütteln	auf	ShiftDiff	Shift
raffen	aufraffen	stehen	aufstehen	auf	AsymComp	Comp
rappeln	aufrappeln	raffen	aufraffen	auf	ShiftDiff	Shift
rauchen	aufrauchen	essen	aufessen	auf	Comp	Comp
räumen	aufräumen	putzen	aufputzen	auf	AsymComp	Comp
rechnen	aufrechnen	summieren	aufsummieren	auf	AsymComp	Comp
recken	aufrecken	stellen	aufstellen	auf	Comp	Comp
reizen	aufreizen	regen	aufregen	auf	ShiftDiff	Shift
richten	aufrichten	helfen	aufhelfen	auf	AsymComp	Comp
richten	aufrichten	recken	aufrecken	auf	AsymComp	Comp
richten	aufrichten	stehen	aufstehen	auf	ShiftDiff	Shift
ritzen	aufritzen	schlitzen	aufschlitzen	auf	Comp	Comp
rühren	aufrühren	buddeln	aufbuddeln	auf	AsymComp	Comp
rühren	aufrühren	graben	aufgraben	auf	AsymComp	Comp
rühren	aufrühren	wühlen	aufwühlen	auf	ShiftDiff	Shift
runden	aufrunden	rechnen	aufrechnen	auf	Comp	Comp
rüsten	aufrüsten	bessern	aufbessern	auf	AsymComp	Comp
rütteln	aufrütteln	rappeln	aufrappeln	auf	ShiftDiff	Shift
rütteln	aufrütteln	rühren	aufrühren	auf	ShiftReg	Shift
saugen	aufsaugen	schnappen	aufschnappen	auf	ShiftDiff	Shift
schauen	aufschauen	blicken	aufblicken	auf	ShiftReg	Shift
schaukeln	aufschaukeln	kochen	aufkochen	auf	ShiftDiff	Shift
schäumen	aufschäumen	quellen	aufquellen	auf	AsymComp	Comp
schichten	aufschichten	häufen	aufhäufen	auf	Comp	Comp
schichten	aufschichten	stapeln	aufstapeln	auf	Comp	Comp
schlagen	aufschlagen	blättern	aufblättern	auf	ShiftDiff	Shift
schlagen	aufschlagen	prallen	aufprallen	auf	AsymComp	Comp
schlagen	aufschlagen	stülpen	aufstülpen	auf	AsymComp	Comp
schlagen	aufschlagen	treffen	auftreffen	auf	AsymComp	Comp
schlecken	aufschlecken	lecken	auflecken	auf	Comp	Comp
schluchzen	aufschluchzen	stöhnen	aufstöhnen	auf	Comp	Comp
schnappen	aufschnappen	greifen	aufgreifen	auf	ShiftReg	Shift
schnappen	aufschnappen	nehmen	aufnehmen	auf	ShiftReg	Shift
schrauben	aufschrauben	bohren	aufbohren	auf	Comp	Comp
schreien	aufschreien	heulen	aufheulen	auf	Comp	Comp
schütten	aufschütten	schichten	aufschichten	auf	Comp	Comp
schwingen	aufschwingen	flattern	aufflattern	auf	AsymComp	Comp
sperren	aufsperren	schließen	aufschließen	auf	Comp	Comp
sperren	aufsperren	schneiden	aufschneiden	auf	Comp	Comp
splitten	aufsplitten	teilen	aufteilen	auf	Comp	Comp
springen	aufspringen	schnappen	aufschnappen	auf	ShiftDiff	Shift
sprühen	aufsprühen	pinseln	aufpinseln	auf	Comp	Comp
spüren	aufspüren	decken	aufdecken	auf	ShiftDiff	Shift
spüren	aufspüren	suchen	aufsuchen	auf	ShiftDiff	Shift
stacheln	aufstacheln	rütteln	aufrütteln	auf	ShiftDiff	Shift
stacheln	aufstacheln	wühlen	aufwühlen	auf	ShiftDiff	Shift
steigen	aufsteigen	schwingen	aufschwingen	auf	ShiftReg	Shift
stocken	aufstocken	bessern	aufbessern	auf	AsymComp	Comp
stöhnen	aufstöhnen	seufzen	aufseufzen	auf	Comp	Comp
suchen	aufsuchen	finden	auffinden	auf	Comp	Comp
summieren	aufsummieren	addieren	aufaddieren	auf	Comp	Comp
takeln	auftakeln	donnern	aufdonnern	auf	ShiftDiff	Shift
takeln	auftakeln	motzen	aufmotzen	auf	ShiftDiff	Shift
takeln	auftakeln	stylen	aufstylen	auf	AsymComp	Comp
teilen	aufteilen	gliedern	aufgliedern	auf	Comp	Comp
tragen	auftragen	bringen	aufbringen	auf	ShiftDiff	Shift
treiben	auftreiben	finden	auffinden	auf	AsymComp	Comp
treiben	auftreiben	spüren	aufspüren	auf	ShiftDiff	Shift
treten	auftreten	stampfen	aufstampfen	auf	AsymComp	Comp
treten	auftreten	tauchen	auftrauchen	auf	ShiftDiff	Shift
tupfen	auftupfen	tropfen	auftropfen	auf	Comp	Comp
wachen	aufwachen	wecken	aufwecken	auf	AsymComp	Comp
wallen	aufwallen	dampfen	aufdampfen	auf	AsymComp	Comp
werten	aufwerten	bessern	aufbessern	auf	AsymComp	Comp
werten	aufwerten	polstern	aufpolstern	auf	AsymComp	Comp
wickeln	aufwickeln	knoten	aufknoten	auf	Comp	Comp
wickeln	aufwickeln	krempeln	aufkrempeln	auf	Comp	Comp
wiegen	aufwiegen	rechnen	aufrechnen	auf	ShiftDiff	Shift
wirbeln	aufwirbeln	rühren	aufrühren	auf	ShiftReg	Shift
wühlen	aufwühlen	graben	aufgraben	auf	AsymComp	Comp
wühlen	aufwühlen	wirbeln	aufwirbeln	auf	ShiftDiff	Shift
zwängen	aufzwängen	lasten	auflasten	auf	ShiftDiff	Shift
zwingen	aufzwingen	bürden	aufbürden	auf	Comp	Comp
arbeiten	ausarbeiten	denken	ausdenken	aus	Comp	Comp
atmen	ausatmen	schnaufen	ausschnaufen	aus	Comp	Comp
baden	ausbaden	bügeln	ausbügeln	aus	ShiftDiff	Shift
baden	ausbaden	gleichen	ausgleichen	aus	AsymComp	Comp
balancieren	ausbalancieren	gleichen	ausgleichen	aus	Comp	Comp
beuten	ausbeuten	nehmen	ausnehmen	aus	ShiftDiff	Shift
beuten	ausbeuten	rauben	ausrauben	aus	AsymComp	Comp
blenden	ausblenden	radieren	ausradieren	aus	ShiftDiff	Shift
breiten	ausbreiten	dehnen	ausdehnen	aus	ShiftReg	Shift
breiten	ausbreiten	leiern	ausleiern	aus	AsymComp	Comp
bremsen	ausbremsen	stechen	ausstechen	aus	ShiftDiff	Shift
brüten	ausbrüten	tüfteln	austüfteln	aus	ShiftDiff	Shift
buddeln	ausbuddeln	kramen	auskramen	aus	AsymComp	Comp
buddeln	ausbuddeln	schaufeln	ausschaufeln	aus	AsymComp	Comp
bügeln	ausbügeln	gleichen	ausgleichen	aus	AsymComp	Comp
bürsten	ausbürsten	kehren	auskehren	aus	Comp	Comp
dehnen	ausdehnen	leiern	ausleiern	aus	AsymComp	Comp
dehnen	ausdehnen	rollen	ausrollen	aus	AsymComp	Comp
denken	ausdenken	brüten	ausbrüten	aus	ShiftDiff	Shift
denken	ausdenken	knobeln	ausknobeln	aus	AsymComp	Comp
denken	ausdenken	spinnen	ausspinnen	aus	ShiftDiff	Shift
drücken	ausdrücken	quetschen	ausquetschen	aus	ShiftReg	Shift
drücken	ausdrücken	wringen	auswringen	aus	AsymComp	Comp
fahren	ausfahren	laufen	auslaufen	aus	ShiftDiff	Shift
fallen	ausfallen	bleiben	ausbleiben	aus	ShiftDiff	Shift
fegen	ausfegen	bürsten	ausbürsten	aus	Comp	Comp
feilen	ausfeilen	arbeiten	ausarbeiten	aus	ShiftDiff	Shift
feilen	ausfeilen	brüten	ausbrüten	aus	ShiftDiff	Shift
feilen	ausfeilen	formen	ausformen	aus	AsymComp	Comp
feilen	ausfeilen	kochen	auskochen	aus	AsymComp	Comp
flippen	ausflippen	rasten	ausrasten	aus	ShiftDiff	Shift
forschen	ausforschen	fragen	ausfragen	aus	AsymComp	Comp
forschen	ausforschen	spionieren	ausspionieren	aus	Comp	Comp
führen	ausführen	üben	ausüben	aus	ShiftDiff	Shift
geben	ausgeben	zahlen	auszahlen	aus	AsymComp	Comp
gleiten	ausgleiten	rutschen	ausrutschen	aus	Comp	Comp
gliedern	ausgliedern	lagern	auslagern	aus	ShiftDiff	Shift
gliedern	ausgliedern	sondern	aussondern	aus	AsymComp	Comp
graben	ausgraben	buddeln	ausbuddeln	aus	AsymComp	Comp
graben	ausgraben	kramen	auskramen	aus	AsymComp	Comp
greifen	ausgreifen	holen	ausholen	aus	ShiftReg	Shift
grübeln	ausgrübeln	knobeln	ausknobeln	aus	Comp	Comp
hauchen	aushauchen	atmen	ausatmen	aus	AsymComp	Comp
heben	ausheben	baggern	ausbaggern	aus	AsymComp	Comp
heben	ausheben	buddeln	ausbuddeln	aus	AsymComp	Comp
heben	ausheben	schaufeln	ausschaufeln	aus	AsymComp	Comp
heulen	ausheulen	jammern	ausjammern	aus	AsymComp	Comp
horchen	aushorchen	forschen	ausforschen	aus	AsymComp	Comp
horchen	aushorchen	fragen	ausfragen	aus	AsymComp	Comp
jäten	ausjäten	zupfen	auszupfen	aus	Comp	Comp
kehren	auskehren	fegen	ausfegen	aus	Comp	Comp
kippen	auskippen	leeren	ausleeren	aus	Comp	Comp
klammern	ausklammern	lassen	auslassen	aus	AsymComp	Comp
klammern	ausklammern	sondern	aussondern	aus	AsymComp	Comp
kleiden	auskleiden	polstern	auspolstern	aus	Comp	Comp
klinken	ausklinken	ticken	austicken	aus	ShiftDiff	Shift
knipsen	ausknipsen	radieren	ausradieren	aus	ShiftDiff	Shift
knobeln	ausknobeln	diskutieren	ausdiskutieren	aus	Comp	Comp
knobeln	ausknobeln	tüfteln	austüfteln	aus	Comp	Comp
kochen	auskochen	brüten	ausbrüten	aus	ShiftReg	Shift
kommen	auskommen	reichen	ausreichen	aus	AsymComp	Comp
kotzen	auskotzen	speien	ausspeien	aus	AsymComp	Comp
kotzen	auskotzen	spucken	ausspucken	aus	AsymComp	Comp
kundschaften	auskundschaften	forschen	ausforschen	aus	Comp	Comp
kurieren	auskurieren	heilen	ausheilen	aus	Comp	Comp
laden	ausladen	greifen	ausgreifen	aus	AsymComp	Comp
laden	ausladen	kippen	auskippen	aus	AsymComp	Comp
laden	ausladen	leeren	ausleeren	aus	AsymComp	Comp
laden	ausladen	räumen	ausräumen	aus	AsymComp	Comp
lassen	auslassen	hebeln	aushebeln	aus	ShiftDiff	Shift
lasten	auslasten	reizen	ausreizen	aus	ShiftDiff	Shift
laufen	auslaufen	klingen	ausklingen	aus	ShiftDiff	Shift
laugen	auslaugen	zehren	auszehren	aus	Comp	Comp
legen	auslegen	kleiden	auskleiden	aus	AsymComp	Comp
legen	auslegen	polstern	auspolstern	aus	AsymComp	Comp
leihen	ausleihen	borgen	ausborgen	aus	Comp	Comp
liefern	ausliefern	fahren	ausfahren	aus	ShiftReg	Shift
liefern	ausliefern	setzen	aussetzen	aus	ShiftDiff	Shift
löschen	auslöschen	knipsen	ausknipsen	aus	ShiftDiff	Shift
löschen	auslöschen	radieren	ausradieren	aus	ShiftReg	Shift
machen	ausmachen	stellen	ausstellen	aus	ShiftDiff	Shift
malen	ausmalen	denken	ausdenken	aus	AsymComp	Comp
manövrieren	ausmanövrieren	spielen	ausspielen	aus	ShiftDiff	Shift
messen	ausmessen	werten	auswerten	aus	Comp	Comp
misten	ausmisten	räumen	ausräumen	aus	Comp	Comp
mustern	ausmustern	sortieren	aussortieren	aus	AsymComp	Comp
nehmen	ausnehmen	schlachten	ausschlachten	aus	ShiftDiff	Shift
nehmen	ausnehmen	weiden	ausweiden	aus	ShiftDiff	Shift
nehmen	ausnehmen	zehren	auszehren	aus	AsymComp	Comp
nutzen	ausnutzen	reizen	ausreizen	aus	ShiftDiff	Shift
nutzen	ausnutzen	saugen	aussaugen	aus	ShiftDiff	Shift
packen	auspacken	plaudern	ausplaudern	aus	ShiftDiff	Shift
packen	auspacken	posaunen	ausposaunen	aus	ShiftDiff	Shift
packen	auspacken	wickeln	auswickeln	aus	AsymComp	Comp
pfeifen	auspfeifen	buhen	ausbuhen	aus	AsymComp	Comp
plappern	ausplappern	plaudern	ausplaudern	aus	ShiftReg	Shift
plappern	ausplappern	reden	ausreden	aus	ShiftReg	Shift
posaunen	ausposaunen	plaudern	ausplaudern	aus	AsymComp	Comp
pressen	auspressen	drücken	ausdrücken	aus	ShiftReg	Shift
probieren	ausprobieren	testen	austesten	aus	Comp	Comp
pusten	auspusten	atmen	ausatmen	aus	Comp	Comp
quetschen	ausquetschen	pressen	auspressen	aus	ShiftReg	Shift
radieren	ausradieren	merzen	ausmerzen	aus	AsymComp	Comp
radieren	ausradieren	schalten	ausschalten	aus	ShiftDiff	Shift
rangieren	ausrangieren	mustern	ausmustern	aus	ShiftDiff	Shift
rangieren	ausrangieren	sortieren	aussortieren	aus	AsymComp	Comp
rasten	ausrasten	ticken	austicken	aus	ShiftDiff	Shift
rauben	ausrauben	plündern	ausplündern	aus	Comp	Comp
räumen	ausräumen	sortieren	aussortieren	aus	AsymComp	Comp
rechnen	ausrechnen	messen	ausmessen	aus	AsymComp	Comp
reden	ausreden	quatschen	ausquatschen	aus	ShiftReg	Shift
reizen	ausreizen	schöpfen	ausschöpfen	aus	ShiftDiff	Shift
rotten	ausrotten	knipsen	ausknipsen	aus	AsymComp	Comp
rotten	ausrotten	merzen	ausmerzen	aus	ShiftDiff	Shift
rücken	ausrücken	marschieren	ausmarschieren	aus	AsymComp	Comp
ruhen	ausruhen	schnaufen	ausschnaufen	aus	AsymComp	Comp
rupfen	ausrupfen	jäten	ausjäten	aus	Comp	Comp
saugen	aussaugen	beuten	ausbeuten	aus	ShiftDiff	Shift
saugen	aussaugen	pumpen	auspumpen	aus	AsymComp	Comp
saugen	aussaugen	zehren	auszehren	aus	AsymComp	Comp
schalten	ausschalten	blenden	ausblenden	aus	ShiftDiff	Shift
schalten	ausschalten	knipsen	ausknipsen	aus	AsymComp	Comp
schalten	ausschalten	löschen	auslöschen	aus	ShiftDiff	Shift
schalten	ausschalten	merzen	ausmerzen	aus	AsymComp	Comp
scheiden	ausscheiden	sondern	aussondern	aus	Comp	Comp
schlachten	ausschlachten	saugen	aussaugen	aus	ShiftDiff	Shift
schlagen	ausschlagen	keilen	auskeilen	aus	AsymComp	Comp
schliessen	auschliessen	sperren	aussperren	aus	AsymComp	Comp
schmücken	ausschmücken	führen	ausführen	aus	ShiftDiff	Shift
schmücken	ausschmücken	gestalten	ausgestalten	aus	AsymComp	Comp
schöpfen	ausschöpfen	lasten	auslasten	aus	ShiftDiff	Shift
schöpfen	ausschöpfen	nutzen	ausnutzen	aus	ShiftDiff	Shift
schreiben	ausschreiben	stellen	ausstellen	aus	ShiftDiff	Shift
schütten	ausschütten	kippen	auskippen	aus	AsymComp	Comp
schütten	ausschütten	zahlen	auszahlen	aus	AsymComp	Comp
senden	aussenden	schicken	ausschicken	aus	Comp	Comp
sieben	aussieben	filtern	ausfiltern	aus	AsymComp	Comp
sieben	aussieben	mustern	ausmustern	aus	ShiftDiff	Shift
sieden	aussiedeln	quartieren	ausquartieren	aus	AsymComp	Comp
sondern	aussondern	lassen	auslassen	aus	Comp	Comp
sortieren	aussortieren	misten	ausmisten	aus	Comp	Comp
spähen	ausspähen	kundschaften	auskundschaften	aus	AsymComp	Comp
spähen	ausspähen	spionieren	ausspionieren	aus	AsymComp	Comp
spannen	ausspannen	ruhen	ausruhen	aus	AsymComp	Comp
spielen	ausspielen	bremsen	ausbremsen	aus	ShiftDiff	Shift
spielen	ausspielen	tricksen	austricksen	aus	AsymComp	Comp
spinnen	ausspinnen	malen	ausmalen	aus	ShiftDiff	Shift
spinnen	ausspinnen	schmücken	ausschmücken	aus	ShiftDiff	Shift
spionieren	ausspionieren	kundschaften	auskundschaften	aus	Comp	Comp
spucken	ausspucken	speien	ausspeien	aus	AsymComp	Comp
stechen	ausstechen	spielen	ausspielen	aus	ShiftDiff	Shift
stechen	ausstechen	tricksen	austricksen	aus	ShiftDiff	Shift
tauschen	austauschen	wechseln	auswechseln	aus	Comp	Comp
teilen	austeilen	geben	ausgeben	aus	ShiftReg	Shift
ticken	austicken	flippen	ausflippen	aus	ShiftDiff	Shift
tragen	austragen	fechten	ausfechten	aus	ShiftDiff	Shift
treten	austreten	brechen	ausbrechen	aus	ShiftDiff	Shift
tricksen	austricksen	bremsen	ausbremsen	aus	ShiftDiff	Shift
tüfteln	austüfteln	feilen	ausfeilen	aus	ShiftDiff	Shift
verhandeln	ausverhandeln	diskutieren	ausdiskutieren	aus	Comp	Comp
wählen	auswählen	filtern	ausfiltern	aus	AsymComp	Comp
wählen	auswählen	sieben	aussieben	aus	ShiftDiff	Shift
wählen	auswählen	suchen	aussuchen	aus	Comp	Comp
weiden	ausweiden	schlachten	ausschlachten	aus	ShiftDiff	Shift
weinen	ausweinen	heulen	ausheulen	aus	ShiftReg	Shift
weinen	ausweinen	jammern	ausjammern	aus	AsymComp	Comp
weiten	ausweiten	breiten	ausbreiten	aus	ShiftReg	Shift
winden	auswinden	wringen	auswringen	aus	Comp	Comp
wischen	auswischen	reiben	ausreiben	aus	AsymComp	Comp
wischen	auswischen	waschen	auswaschen	aus	AsymComp	Comp
zehren	auszehren	pumpen	auspumpen	aus	AsymComp	Comp
ziehen	ausziehen	rücken	ausrücken	aus	ShiftDiff	Shift
zupfen	auszupfen	rupfen	ausrupfen	aus	Comp	Comp
